#{"t_start": 1743315582.1523337, "env_id": "None"}
r,l,t,reward,mastery_gain,engagement,cog_load,motivation,eff_difficulty,miscon_formed,miscon_cleared
3704.892283,250,11415.546277,7.607079102102179,0.15341743596977508,1.1308143,0.05,0.99,0.2251296,False,False
1504.840259,250,11475.540894,7.898714935791458,0.16321195070797134,1.1465628,0.05,0.99,0.294365,False,False
2733.082524,250,11478.000964,3.901531879591872,0.0807449932948337,1.1748714,0.05,0.99,0.48850143,False,False
3678.152905,250,11480.420462,5.682072486419886,0.11819452058234632,1.1281437,0.05,0.99,0.05,False,False
2467.474631,250,11482.856608,2.5869263080779286,0.05851536718691105,1.1602825,0.05,0.99,0.2663055,False,False
2031.976738,250,11485.423453,7.506480777358347,0.15523037926066088,1.170055,0.05,0.99,0.3172523,False,False
1613.286239,250,11487.91386,7.0096544248833865,0.1405818608582012,1.1273642,0.05,0.99,0.15372801,False,False
990.916672,250,11490.352728,0.9781417750740721,0.032112773863126186,0.1166884,0.98,0.99,0.38357222,False,False
2660.206663,250,11492.814862,5.090901748006813,0.1050573216916178,1.1090136,0.05,0.99,0.09818049,False,False
-24.786254,250,11495.256457,0.05138655259907421,0.007890304559227464,-0.073742926,0.98,0.240751,0.1970756,False,False
3347.039581,250,11553.968117,13.351673734944168,0.27340578019223816,1.1286404,0.05,0.99,0.05,False,False
2900.084396,250,11556.388094,5.391791644560827,0.11327286297892597,1.1988894,0.05,0.99,0.392384,False,False
3196.114517,250,11567.740433,8.966749511065663,0.186115586190275,1.1332759,0.05,0.99,0.14234897,False,False
1575.73548,250,11570.139569,8.05338177437483,0.16139659644964316,1.1293484,0.05,0.99,0.09704832,False,False
1587.922389,250,11572.563936,3.726985977965063,0.07991891330440772,1.1539338,0.05,0.99,0.21415606,False,False
2670.637759,250,11575.008638,6.279020562360339,0.13155319313962563,1.178964,0.05,0.99,0.23657936,False,False
2662.308092,250,11577.468615,4.825472863365719,0.10255810104587691,1.1367081,0.05,0.99,0.29783785,False,False
3629.881202,250,11579.908486,8.605955162397041,0.17247984987702994,1.1277285,0.05,0.99,0.40642685,False,False
1753.320497,250,11659.772278,8.155080675183115,0.16524467254456635,1.1666251,0.12360696,0.99,0.6688428,False,False
-19.707461,250,11662.671762,-0.08069551448328277,0.006450481926390929,-0.07930964,0.98,0.2,0.09528212,False,False
2979.528635,250,11665.603194,6.422249353554151,0.13619823651842874,1.1711098,0.05,0.99,0.05,False,False
1570.868703,250,11668.477572,6.359304377907658,0.13330628917146015,1.1452476,0.05,0.99,0.05,False,False
3103.995484,250,11671.508701,18.042044225053413,0.3658965845707877,1.2039771,0.05,0.99,0.19533823,False,False
2649.208565,250,11674.42403,12.829863776264157,0.26270495185578996,1.1074172,0.05,0.99,0.05,False,False
1804.592007,250,11677.356862,5.083490769712847,0.10251749086258254,1.1635485,0.05,0.99,0.2440305,False,False
2745.884015,250,11680.337135,11.221801442082599,0.22534303983978182,1.1068963,0.05,0.99,0.1195012,False,False
2517.946756,250,11761.337656,10.861996398967516,0.2177156378307345,1.1571515,0.05,0.99,0.20576061,False,False
1583.404762,250,11764.3083,7.952611802263017,0.16442376932691444,1.1293368,0.05,0.99,0.092662655,False,False
2571.523194,250,11767.223817,7.332184580739222,0.1494351951741354,1.1759744,0.05,0.99,0.05,False,False
2626.879206,250,11770.13614,9.196930945060663,0.19814311821623667,1.1752138,0.14423785,0.99,0.84836733,False,False
1543.465883,250,11772.992921,6.563557206174204,0.13173023623715777,1.1515443,0.05,0.99,0.44240144,False,False
1523.895431,250,11775.928912,6.645964374042794,0.13348257261141627,1.1186991,0.090477295,0.99,0.47200495,False,False
2677.819827,250,11778.868255,8.912821502153022,0.1784256926576459,1.1379323,0.05,0.99,0.3695202,False,False
1576.851926,250,11781.893604,6.2490196286787345,0.12689776376793732,1.1199481,0.07491346,0.99,0.64549434,False,False
2092.827358,250,11864.581041,6.761146096458399,0.140703121053385,1.1705728,0.05,0.99,0.26668733,False,False
2585.257651,250,11867.559019,5.21666259285214,0.10777702178466368,1.1764225,0.05,0.99,0.05,False,False
604.148379,250,11870.514183,1.9397729922800435,0.047320854668556005,0.11063681,0.98,0.99,0.497063,False,False
2865.784798,250,11873.467647,13.067711478305796,0.26194891837235174,1.1352528,0.05279451,0.99,0.45291957,False,False
2030.173301,250,11876.387418,8.634456697643758,0.1728944673473579,1.1805861,0.05,0.99,0.35801768,False,False
1344.52833,250,11891.05636,4.567448095126637,0.09379485254851357,1.1668396,0.2565604,0.99,0.82140535,False,False
1962.390192,250,11894.033013,8.563730102882767,0.17139773239198233,1.158928,0.05,0.99,0.31319943,False,False
3021.210628,250,11896.969481,3.2761831580226617,0.06899376433397332,1.1945803,0.05,0.99,0.15199131,False,False
1590.295973,250,11979.676355,6.70108070892944,0.13412870559625997,1.1634622,0.05,0.99,0.25570974,False,False
3104.555259,250,11982.584996,4.362141706087234,0.09096763674573187,1.2039468,0.05,0.99,0.05,False,False
2031.991065,250,11985.509724,7.5982772075595255,0.15230637621653437,1.1827837,0.05,0.99,0.43550262,False,False
1652.582317,250,11988.397941,5.080082620989008,0.10192156971818651,1.1585244,0.05,0.99,0.43068066,False,False
1569.112038,250,11991.304402,8.119799237972783,0.16465443094206428,1.1317041,0.06551829,0.99,0.5913629,False,False
2699.474124,250,11994.208014,21.94718784521051,0.4454009278633252,1.1735755,0.05,0.99,0.49712986,False,False
2559.770807,250,11997.112192,11.309107550909417,0.23149279660920893,1.157288,0.05,0.99,0.22042817,False,False
2764.699979,250,11999.979643,7.151982217000919,0.15083685057375823,1.1325856,0.05,0.99,0.05,False,False
3195.47708,250,12002.90325,19.27431677462235,0.39076320399740333,1.1291188,0.05,0.99,0.29679394,False,False
3024.377119,250,12084.522365,8.447505735941768,0.16939329002679468,1.1370145,0.05,0.99,0.3353365,False,False
869.227054,250,12087.428728,1.189067337927799,0.0313172941219326,0.11573185,0.98,0.99,0.38251293,False,False
3021.342098,250,12090.321452,4.99339263597315,0.1020781623399626,1.1688035,0.055635218,0.99,0.49700692,False,False
-12.843938,250,12093.262862,-0.3373517360173583,0.006613588165774106,-0.07679656,0.98,0.2,0.39122644,False,False
3671.447619,250,12096.155833,21.47156471450295,0.4349671898942522,1.1267598,0.05,0.99,0.4460474,False,False
2828.083287,250,12099.035584,7.929248015076344,0.1639295309378291,1.135788,0.05,0.99,0.5554121,False,False
1573.817397,250,12101.981528,8.355202094420886,0.17224985146528302,1.1507057,0.05,0.99,0.2783702,False,False
-24.321983,250,12104.915901,-0.036277355659429744,0.00625432726257196,-0.06667969,0.98,0.2,0.29474154,False,False
